id,streamer,count,timestamp
1,esl_lol,0,2015-03-13T05:46:29
1,esl_lol,1652,2015-03-13T05:47:30
1,esl_lol,1872,2015-03-13T05:48:31
1,esl_lol,2374,2015-03-13T05:49:32
1,esl_lol,2487,2015-03-13T05:50:32
1,esl_lol,2782,2015-03-13T05:51:33
1,esl_lol,3495,2015-03-13T05:52:34
1,esl_lol,3777,2015-03-13T05:53:35
1,esl_lol,3777,2015-03-13T05:54:36
1,esl_lol,4582,2015-03-13T05:55:37
1,esl_lol,5085,2015-03-13T05:56:38
1,esl_lol,5380,2015-03-13T05:57:39
1,esl_lol,5429,2015-03-13T05:58:40
1,esl_lol,5558,2015-03-13T05:59:41
1,esl_lol,5769,2015-03-13T06:00:42
1,esl_lol,6198,2015-03-13T06:01:43
1,esl_lol,6580,2015-03-13T06:02:43
1,esl_lol,7001,2015-03-13T06:03:44
1,esl_lol,7150,2015-03-13T06:04:45
1,esl_lol,7272,2015-03-13T06:05:46
1,esl_lol,7599,2015-03-13T06:06:46
1,esl_lol,9643,2015-03-13T06:07:47
1,esl_lol,8173,2015-03-13T06:08:48
1,esl_lol,10372,2015-03-13T06:09:49
1,esl_lol,10637,2015-03-13T06:10:50
1,esl_lol,9486,2015-03-13T06:11:51
1,esl_lol,9688,2015-03-13T06:12:52
1,esl_lol,9886,2015-03-13T06:13:53
1,esl_lol,12136,2015-03-13T06:14:54
1,esl_lol,12370,2015-03-13T06:15:54
1,esl_lol,13030,2015-03-13T06:16:55
1,esl_lol,13266,2015-03-13T06:17:56
1,esl_lol,13643,2015-03-13T06:18:57
1,esl_lol,13976,2015-03-13T06:19:58
1,esl_lol,14569,2015-03-13T06:20:59
1,esl_lol,14767,2015-03-13T06:22:00
1,esl_lol,15017,2015-03-13T06:23:00
1,esl_lol,15458,2015-03-13T06:24:01
1,esl_lol,16249,2015-03-13T06:25:02
1,esl_lol,16525,2015-03-13T06:26:03
1,esl_lol,17025,2015-03-13T06:27:04
1,esl_lol,17003,2015-03-13T06:28:06
1,esl_lol,17642,2015-03-13T06:29:07
1,esl_lol,18016,2015-03-13T06:30:08
1,esl_lol,19586,2015-03-13T06:31:09
1,esl_lol,20731,2015-03-13T06:32:10
1,esl_lol,21252,2015-03-13T06:33:11
1,esl_lol,21993,2015-03-13T06:34:12
1,esl_lol,23049,2015-03-13T06:35:13
1,esl_lol,24392,2015-03-13T06:36:14
1,esl_lol,25517,2015-03-13T06:37:14
1,esl_lol,25517,2015-03-13T06:38:15
1,esl_lol,27557,2015-03-13T06:39:16
1,esl_lol,30516,2015-03-13T06:40:17
1,esl_lol,30516,2015-03-13T06:41:18
1,esl_lol,32366,2015-03-13T06:42:18
1,esl_lol,35080,2015-03-13T06:43:19
1,esl_lol,36559,2015-03-13T06:44:20
1,esl_lol,40535,2015-03-13T06:45:21
1,esl_lol,44844,2015-03-13T06:46:22
1,esl_lol,46290,2015-03-13T06:47:23
1,esl_lol,46290,2015-03-13T06:48:24
1,esl_lol,54716,2015-03-13T06:49:25
1,esl_lol,54716,2015-03-13T06:50:26
1,esl_lol,59268,2015-03-13T06:51:27
1,esl_lol,59268,2015-03-13T06:52:27
1,esl_lol,63814,2015-03-13T06:53:28
1,esl_lol,63814,2015-03-13T06:54:30
1,esl_lol,69817,2015-03-13T06:55:30
1,esl_lol,70694,2015-03-13T06:56:31
1,esl_lol,73975,2015-03-13T06:57:32
1,esl_lol,76122,2015-03-13T06:58:33
1,esl_lol,77722,2015-03-13T06:59:34
1,esl_lol,79809,2015-03-13T07:00:35
1,esl_lol,82145,2015-03-13T07:01:35
1,esl_lol,84886,2015-03-13T07:02:36
1,esl_lol,87731,2015-03-13T07:03:37
1,esl_lol,90379,2015-03-13T07:04:38
1,esl_lol,92509,2015-03-13T07:05:39
1,esl_lol,92509,2015-03-13T07:06:40
1,esl_lol,101861,2015-03-13T07:07:41
1,esl_lol,107814,2015-03-13T07:08:42
1,esl_lol,110220,2015-03-13T07:09:43
1,esl_lol,110220,2015-03-13T07:10:44
1,esl_lol,113218,2015-03-13T07:11:45
1,esl_lol,115506,2015-03-13T07:12:46
1,esl_lol,118238,2015-03-13T07:13:47
1,esl_lol,119430,2015-03-13T07:14:48
1,esl_lol,122468,2015-03-13T07:15:49
1,esl_lol,124267,2015-03-13T07:16:49
1,esl_lol,126236,2015-03-13T07:17:50
1,esl_lol,126236,2015-03-13T07:18:51
1,esl_lol,128897,2015-03-13T07:19:52
1,esl_lol,131589,2015-03-13T07:20:53
1,esl_lol,133267,2015-03-13T07:21:54
1,esl_lol,137693,2015-03-13T07:22:55
1,esl_lol,139265,2015-03-13T07:23:56
1,esl_lol,141033,2015-03-13T07:24:56
1,esl_lol,142801,2015-03-13T07:25:57
